unitid,efalevel,line,section,lstudy,eftotlt
101286,31,7,1,1,8
101286,39,2,1,1,111
101286,40,3,1,1,632
101286,41,28,2,4,2798
101286,42,22,2,1,2798
101286,43,20,2,1,1849
101286,44,15,2,1,245
101286,45,99,2,1,1604
101286,51,21,2,1,949
101286,59,16,2,1,139
101286,60,17,2,1,1465
101295,1,29,3,4,6023
101295,2,99,3,1,6023
101295,3,99,3,1,4413
101295,4,99,3,1,1285
101295,5,99,3,1,3128
101295,11,99,3,1,1610
101295,19,99,3,1,543
101295,20,99,3,1,2585
101295,21,14,1,4,2463
101295,22,8,1,1,2463
101295,23,6,1,1,2361
101295,24,1,1,1,937
101295,25,99,1,1,1424
101295,31,7,1,1,102
101295,39,2,1,1,268
101295,40,3,1,1,1156
101295,41,28,2,4,3560
101295,42,22,2,1,3560
101295,43,20,2,1,2052
101295,44,15,2,1,348
101295,45,99,2,1,1704
101295,51,21,2,1,1508
101295,59,16,2,1,275
101295,60,17,2,1,1429
101301,1,29,3,4,1935
101301,2,99,3,1,1935
101301,3,99,3,1,828
101301,4,99,3,1,271
101301,5,99,3,1,557
101301,11,99,3,1,1107
101301,19,99,3,1,74
101301,20,99,3,1,483
101301,21,14,1,4,535
101301,22,8,1,1,535
101301,23,6,1,1,498
101301,24,1,1,1,238
101301,25,99,1,1,260
101301,31,7,1,1,37
101301,39,2,1,1,44
101301,40,3,1,1,216
101301,41,28,2,4,1400
101301,42,22,2,1,1400
101301,43,20,2,1,330
101301,44,15,2,1,33
101301,45,99,2,1,297
101301,51,21,2,1,1070
101301,59,16,2,1,30
101301,60,17,2,1,267
101365,1,29,3,4,448
101365,2,99,3,1,446
101365,3,99,3,1,445
101365,4,99,3,1,83
101365,5,99,3,1,362
101365,11,99,3,1,1
101365,12,99,3,3,2
101365,19,99,3,1,32
101365,20,99,3,1,330
101365,21,14,1,4,170
101365,22,8,1,1,169
101365,23,6,1,1,169
101365,24,1,1,1,19
101365,25,99,1,1,150
101365,32,11,1,3,1
101365,39,2,1,1,7
101365,40,3,1,1,143
101365,41,28,2,4,278
101365,42,22,2,1,277
101365,43,20,2,1,276
101365,44,15,2,1,64
101365,45,99,2,1,212
101365,51,21,2,1,1
101365,52,25,2,3,1
101365,59,16,2,1,25
101365,60,17,2,1,187
101435,1,29,3,4,869
101435,2,99,3,1,866
101435,3,99,3,1,865
101435,4,99,3,1,309
101435,5,99,3,1,556
101435,11,99,3,1,1
101435,12,99,3,3,3
101435,19,99,3,1,37
101435,20,99,3,1,519
101435,21,14,1,4,852
101435,22,8,1,1,849
101435,23,6,1,1,849
101435,24,1,1,1,309
101435,25,99,1,1,540
101435,32,11,1,3,3
101435,39,2,1,1,37
101435,40,3,1,1,503
101435,41,28,2,4,17
101435,42,22,2,1,17
101435,43,20,2,1,16
101435,45,99,2,1,16
101435,51,21,2,1,1
101435,60,17,2,1,16
101453,1,29,3,4,158
101453,2,99,3,1,70
101453,3,99,3,1,63
101453,4,99,3,1,6
101453,5,99,3,1,57
101453,11,99,3,1,7
101453,12,99,3,3,88
101453,19,99,3,1,9
101453,20,99,3,1,48
101453,21,14,1,4,38
101453,22,8,1,1,27
101453,23,6,1,1,26
101453,24,1,1,1,5
101453,25,99,1,1,21
101453,31,7,1,1,1
101453,32,11,1,3,11
101453,39,2,1,1,6
101453,40,3,1,1,15
101453,41,28,2,4,120
101453,42,22,2,1,43
101453,43,20,2,1,37
101453,44,15,2,1,1
101453,45,99,2,1,36
101453,51,21,2,1,6
101453,52,25,2,3,77
101453,59,16,2,1,3
101453,60,17,2,1,33
101462,1,29,3,4,1011
101462,2,99,3,1,1011
101462,3,99,3,1,719
101462,4,99,3,1,147
101462,5,99,3,1,572
101462,11,99,3,1,292
101462,19,99,3,1,165
101462,20,99,3,1,407
101462,21,14,1,4,285
101462,22,8,1,1,285
101462,23,6,1,1,285
101462,24,1,1,1,97
101462,25,99,1,1,188
101462,39,2,1,1,63
101462,40,3,1,1,125
101462,41,28,2,4,726
101462,42,22,2,1,726
101462,43,20,2,1,434
101462,44,15,2,1,50
101462,45,99,2,1,384
101462,51,21,2,1,292
101462,59,16,2,1,102
101462,60,17,2,1,282
101471,1,29,3,4,826
101471,2,99,3,1,826
101471,3,99,3,1,826
101471,4,99,3,1,419
101471,5,99,3,1,407
101471,20,99,3,1,407
101471,21,14,1,4,639
101471,22,8,1,1,639
101471,23,6,1,1,639
101471,24,1,1,1,341
101471,25,99,1,1,298
101471,40,3,1,1,298
101471,41,28,2,4,187
101471,42,22,2,1,187
101471,43,20,2,1,187
101471,44,15,2,1,78
101471,45,99,2,1,109
101471,60,17,2,1,109
101480,1,29,3,4,9672
101480,2,99,3,1,8378
101480,3,99,3,1,7030
101480,4,99,3,1,1815
101480,5,99,3,1,5215
101480,11,99,3,1,1348
101480,12,99,3,3,1294
101480,19,99,3,1,476
101480,20,99,3,1,4739
101480,21,14,1,4,6960
